Organization Policies,,,,,,
Category,Policy,Expected Value,Current Value,Status,,
Serverless Functions,Allowed VPC Connector egress settings (Cloud Functions),TRUE,N/A,Not Configured,,
Serverless Functions,Require VPC Connector (Cloud Functions),TRUE,N/A,Not Configured,,
Serverless Functions,Allowed Binary Authorization Policies (Cloud Run),TRUE,N/A,Not Configured,,
Serverless Functions,Allowed ingress settings (Cloud Run),TRUE,N/A,Not Configured,,
Serverless Functions,Allowed VPC egress settings (Cloud Run),TRUE,N/A,Not Configured,,
Serverless Functions,Allowed Cloud Functions Generations,TRUE,N/A,Not Configured,,
Storage,Enforce Public Access Prevention,TRUE,N/A,Not Configured,,
Storage,Cloud Storage - restrict authentication types,TRUE,N/A,Not Configured,,
Storage,Retention policy duration in seconds,TRUE,N/A,Not Configured,,
Storage,Enforce uniform bucket-level access,TRUE,N/A,Not Configured,,
Storage,Restrict unencrypted HTTP access,TRUE,N/A,Not Configured,,
Storage,Cloud Storage - soft delete policy retention duration in seconds,TRUE,N/A,Not Configured,,
Unclassified,Require IAM invoker check for Cloud Run services,TRUE,N/A,Not Configured,,
Vertex AI,Define access mode for Vertex AI Workbench notebooks and instances,TRUE,N/A,Not Configured,,
Vertex AI,Disable file downloads on new Vertex AI Workbench instances,TRUE,N/A,Not Configured,,
Vertex AI,Disable root access on new Vertex AI Workbench user-managed notebooks and instances,TRUE,N/A,Not Configured,,
Vertex AI,Disable terminal on new Vertex AI Workbench instances,TRUE,N/A,Not Configured,,
Vertex AI,Restrict environment options on new Vertex AI Workbench user-managed notebooks,TRUE,N/A,Not Configured,,
Vertex AI,Require automatic scheduled upgrades on new Vertex AI Workbench user-managed notebooks and instances,TRUE,N/A,Not Configured,,
Vertex AI,Restrict VPC networks on new Vertex AI Workbench instances,TRUE,N/A,Not Configured,,
Vertex AI,Restrict public IP access on new Vertex AI Workbench notebooks and instances,TRUE,N/A,Not Configured,,
Vertex AI,Define access to Google proprietary generative AI models on Vertex AI,TRUE,N/A,Not Configured,,
Vertex AI,Define access to models on Vertex AI,TRUE,N/A,Not Configured,,
,,,,,,
Security & Identity,,,,,,
Check,Status,Role,Principal,,,
Critical Org-Level Roles,Action Required,roles/owner,user:prateek@starkgcp.net,,,
Critical Org-Level Roles,Action Required,roles/resourcemanager.organizationAdmin,user:prateek@starkgcp.net,,,
,,,,,,
Check,Status,Project,Principal,Role,,
Primitive Roles (Owner/Editor),Action Required,stark-media-project,serviceAccount:813899546362-compute@developer.gserviceaccount.com,roles/editor,,
Primitive Roles (Owner/Editor),Action Required,stark-media-project,serviceAccount:813899546362@cloudservices.gserviceaccount.com,roles/editor,,
,,,,,,
Check,Status,Project,Rule Name,VPC,,
Open Firewall Rules (0.0.0.0/0),Action Required,stark-prod-2024,default-allow-ssh,default,,
Open Firewall Rules (0.0.0.0/0),Action Required,stark-prod-2024,gke-cluster-1-a784d094-exkubelet,default,,
Open Firewall Rules (0.0.0.0/0),Action Required,stark-prod-2024,ingress,default,,
Open Firewall Rules (0.0.0.0/0),Action Required,stark-prod-2024,stark-prod-vpc-allow-http,stark-prod-vpc,,
Open Firewall Rules (0.0.0.0/0),Action Required,stark-prod-2024,stark-prod-vpc-allow-https,stark-prod-vpc,,
,,,,,,
Check,Status,Tier,Recommendation,,,
Security Command Center,Action Required,STANDARD,Premium tier provides advanced threat detection.,,,
,,,,,,
Check,Status,Project,Service Account,Issue,,
Service Account Key Rotation (>90 days),Action Required,stark-nonprod,sa-gcs-file-sharing@stark-nonprod.iam.gserviceaccount.com,Key is older than 90 days.,,
Service Account Key Rotation (>90 days),Action Required,stark-nonprod,sa-gcs-file-sharing@stark-nonprod.iam.gserviceaccount.com,Key is older than 90 days.,,
Service Account Key Rotation (>90 days),Action Required,stark-nonprod,sa-gcs-file-sharing@stark-nonprod.iam.gserviceaccount.com,Key is older than 90 days.,,
Service Account Key Rotation (>90 days),Action Required,stark-nonprod,gcs-hmac@stark-nonprod.iam.gserviceaccount.com,Key is older than 90 days.,,
Service Account Key Rotation (>90 days),Action Required,stark-nonprod,docker-svc-acc@stark-nonprod.iam.gserviceaccount.com,Key is older than 90 days.,,
,,,,,,
Check,Status,Project,Bucket,Issue,,
Public Cloud Storage Buckets,Action Required,stark-nonprod,live-streaming-storage-prateek,Publicly accessible via role roles/storage.objectViewer.,,
Public Cloud Storage Buckets,Action Required,stark-prod-2024,compliance-bucket-stark,Publicly accessible via role roles/storage.objectViewer.,,
,,,,,,
,,,,,,
Cost Optimization,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
VM Rightsizing,Action Required,stark-media-project,poc-bastion-sa-tl-0,"For VM 'poc-bastion-sa-tl-0', Save cost by changing machine type from n2d-highcpu-64 to n2d-highcpu-32.",470.87 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
VM Rightsizing,Action Required,stark-nonprod,client-vm-sql,"For VM 'client-vm-sql', Save cost by changing machine type from e2-medium to e2-small.",14.42 USD,
VM Rightsizing,Action Required,stark-nonprod,client-vm-sql-20250811-193538,"For VM 'client-vm-sql-20250811-193538', Save cost by changing machine type from e2-medium to e2-small.",14.42 USD,
VM Rightsizing,Action Required,stark-nonprod,instance-20250715-173202,"For VM 'instance-20250715-173202', Save cost by changing machine type from e2-medium to e2-small.",14.42 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
Unassociated IPs,Action Required,stark-nonprod,nat1-mumbai,Save cost by deleting idle IP address 'nat1-mumbai'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,vm-vpn,Save cost by deleting idle IP address 'vm-vpn'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,nat-asia-south1-range-35,Save cost by deleting idle IP address 'nat-asia-south1-range-35'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,ip1,Save cost by deleting idle IP address 'ip1'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,nat-asia-south1-range-36,Save cost by deleting idle IP address 'nat-asia-south1-range-36'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,cap-vm-ip,Save cost by deleting idle IP address 'cap-vm-ip'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,cap-tool-vm,Save cost by deleting idle IP address 'cap-tool-vm'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,nat2-mumbai,Save cost by deleting idle IP address 'nat2-mumbai'.,8.64 USD,
Unassociated IPs,Action Required,stark-nonprod,classic-ip-prod,Save cost by deleting idle IP address 'classic-ip-prod'.,7.20 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
Idle Persistent Disks,Action Required,stark-nonprod,disk-2,Save cost by snapshotting and then deleting idle persistent disk 'disk-2'.,52.65 USD,
Idle Persistent Disks,Action Required,stark-nonprod,disk-1,Save cost by snapshotting and then deleting idle persistent disk 'disk-1'.,11.61 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
Low Utilization VMs,Action Required,stark-prod-2024,gateway-vm,Save cost by stopping Idle VM 'gateway-vm'.,28.89 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
VM Rightsizing,Action Required,stark-prod-2024,be-vm-portal,"For VM 'be-vm-portal', Save cost by changing machine type from e2-medium to e2-small.",14.41 USD,
VM Rightsizing,Action Required,stark-prod-2024,be-default,"For VM 'be-default', Save cost by changing machine type from e2-medium to e2-small.",14.41 USD,
VM Rightsizing,Action Required,stark-prod-2024,nginx,"For VM 'nginx', Save cost by changing machine type from e2-medium to e2-small.",14.41 USD,
VM Rightsizing,Action Required,stark-prod-2024,client-vm,"For VM 'client-vm', Save cost by changing machine type from e2-medium to e2-small.",14.41 USD,
VM Rightsizing,Action Required,stark-prod-2024,gateway-vm,"For VM 'gateway-vm', Save cost by changing machine type from e2-medium to e2-small.",14.44 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
Unassociated IPs,Action Required,stark-prod-2024,ggnfeipaddress,Save cost by deleting idle IP address 'ggnfeipaddress'.,7.20 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
Underutilized Reservations,Action Required,stark-prod-2024,reservation-20250825-065734,Save cost by modifying the underutilized reservation reservation-20250825-065734,80.30 USD,
,,,,,,
Check,Status,Project,Resource Name,Recommendation,Est. Monthly Saving,
Idle Reservations,Action Required,stark-prod-2024,reservation-20250825-065638,Save cost by deleting the idle reservation reservation-20250825-065638,80.30 USD,
,,,,,,
,,,,,,
Reliability & Resilience,,,,,,
Check,Status,Project,Bucket,Issue,,
Cloud Storage Versioning,Action Required,stark-media-project,poc-live,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-media-project,run-sources-stark-media-project-asia-south1,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-nonprod,live-streaming-storage-prateek,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-nonprod,python_share,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-nonprod,run-sources-stark-nonprod-asia-south1,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-nonprod,stark-nonprod-tmp-20250723190342-a201,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-nonprod,static-starktv-gcs,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-prod-2024,1000883476805_us_import_content_with_faq_csv,Object versioning is not enabled.,,
Cloud Storage Versioning,Action Required,stark-prod-2024,1000883476805_us_import_document,Object versioning is not enabled.,,
,,,,,,
Check,Status,Error,,,,
Essential Contacts,Error,The Essential Contacts API is not enabled. Please enable it to run this check.,,,,
,,,,,,
Check,Status,Project,Cluster,Recommendation,,
GKE Hygiene,Action Required,stark-prod-2024,cluster-1,"Create a backup plan for %s. A backup plan lets you specify which parts of your cluster to back up, when to create backups, and where to store them. [Learn more](https://cloud.google.com/kubernetes-engine/docs/add-on/backup-for-gke/concepts/backup-for-gke).",,
GKE Hygiene,Action Required,stark-prod-2024,cluster-1,Configure maintenance window for cluster cluster-1 to let auto-upgrades run during off-peak hours and when someone is available to handle unforeseen issues. [Learn how](https://cloud.google.com/kubernetes-engine/docs/how-to/maintenance-windows-and-exclusions).,,
,,,,,,
Check,Status,Status,,,,
Personalized Service Health,Compliant,Enabled,,,,
,,,,,,
Check,Status,Project,Instance,,,
Cloud SQL High Availability,Action Required,stark-prod-2024,sql-srikp-replica,,,
,,,,,,
Check,Status,Project,Instance,,,
Cloud SQL Automated Backups,Action Required,stark-prod-2024,sql-srikp-replica,,,
,,,,,,
Check,Status,Project,Instance,Retention,,
Cloud SQL Backup Retention,Action Required,stark-prod-2024,langchainsql,N/A,,
Cloud SQL Backup Retention,Action Required,stark-prod-2024,sql-srikp,N/A,,
Cloud SQL Backup Retention,Action Required,stark-prod-2024,sql-srikp-replica,N/A,,
,,,,,,
Check,Status,Project,Instance,,,
Cloud SQL PITR,Action Required,stark-prod-2024,sql-srikp,,,
,,,,,,
Check,Status,Project,MIG Name,,,
MIG Resilience (Zonal),Action Required,stark-prod-2024,instance-group-h200-us,,,
,,,,,,
Check,Status,Issue,,,,
Disk Snapshot Resilience,Action Required,Found 182 snapshots stored in only one region.,,,,
,,,,,,
,,,,,,
Operational Excellence & Observability,,,,,,
Check,Status,Sink Name,Destination,,,
Organization Log Sink,Compliant,sst_multiorg_activity_sink,pubsub.googleapis.com/projects/sst-multiorg-314354161233/topics/sst-multiorg-cloud-activity,,,
Organization Log Sink,Compliant,_Required,logging.googleapis.com/organizations/314354161233/locations/global/buckets/_Required,,,
Organization Log Sink,Compliant,_Default,logging.googleapis.com/organizations/314354161233/locations/global/buckets/_Default,,,
,,,,,,
Check,Status,Project,Issue,,,
Monitoring Alert Coverage,Action Required,stark-media-project,Missing Quota alerting policy,,,
Monitoring Alert Coverage,Action Required,stark-nonprod,Missing alert policy for Load Balancer,,,
Monitoring Alert Coverage,Action Required,stark-nonprod,Missing Quota alerting policy,,,
Monitoring Alert Coverage,Action Required,stark-prod-2024,Missing alert policy for Cloud SQL,,,
Monitoring Alert Coverage,Action Required,stark-prod-2024,Missing alert policy for GKE Cluster,,,
Monitoring Alert Coverage,Action Required,stark-prod-2024,Missing alert policy for Load Balancer,,,
Monitoring Alert Coverage,Action Required,stark-prod-2024,Missing Quota alerting policy,,,
,,,,,,
Check,Status,Project,Recommendation,,,
Unattended Projects,Action Required,Unknown,We recommend cleaning up this project because it has low activity during the observation period.,,,
,,,,,,
Check,Status,Project,Standalone VMs,,,
Standalone VMs (Not in MIGs),Investigation Recommended,stark-media-project,poc-bastion-sa-tl-0,,,
Standalone VMs (Not in MIGs),Investigation Recommended,stark-nonprod,"client-vm-sql, client-vm-sql-20250811-193538, instance-20250715-173202",,,
Standalone VMs (Not in MIGs),Investigation Recommended,stark-prod-2024,"be-default, be-vm-portal, client-vm, gateway-vm, ggnfirstvm, multi-nic-vm, nginx, us-vm, workstations-d2848259-808b-4684-8dcb-0b62c9d639a5",,,
,,,,,,
Check,Status,Project,VMs Not Reporting,,,
OS Config Agent Coverage,Action Required,stark-media-project,poc-bastion-sa-tl-0,,,
OS Config Agent Coverage,Action Required,stark-nonprod,"client-vm-sql, client-vm-sql-20250811-193538, instance-20250715-173202, instance-group-13333-63tf",,,
OS Config Agent Coverage,Action Required,stark-prod-2024,"be-default, be-vm-portal, client-vm, gateway-vm, ggnfirstvm, multi-nic-vm, nginx, us-vm, workstations-d2848259-808b-4684-8dcb-0b62c9d639a5",,,
,,,,,,
Check,Status,Project,Finding Type,Resource,Detail,Value
VPC IP Address Utilization,Action Required,stark-media-project,Subnet Utilization,Subnet: atemepoc-bastion-sa-subprod (Network: atemepoc-bastion-sa-vpc-ateme),Range: 192.168.1.0/24,0.40% Allocation
,,,,,,
Check,Status,Project,Finding Type,Resource,Detail,Value
VPC IP Address Utilization,Action Required,stark-nonprod,PSA Utilization,Network: cloud-build-vpc,PSA Range: 10.159.83.0/24,100.00% Allocation
VPC IP Address Utilization,Action Required,stark-nonprod,PSA Utilization,Network: stark-non-prod-vpc,PSA Range: 10.34.20.0/24,0.00% Allocation
VPC IP Address Utilization,Action Required,stark-nonprod,PSA Utilization,Network: stark-non-prod-vpc,PSA Range: 10.34.19.0/24,0.00% Allocation
VPC IP Address Utilization,Action Required,stark-nonprod,Subnet Utilization,Subnet: cb-subnet (Network: cloud-build-vpc),Range: 10.10.1.0/24,0.79% Allocation
VPC IP Address Utilization,Action Required,stark-nonprod,Subnet Utilization,Subnet: default (Network: default),Range: 10.160.0.0/20,0.05% Allocation
VPC IP Address Utilization,Action Required,stark-nonprod,Subnet Utilization,Subnet: mum-subnet-non-prod (Network: stark-non-prod-vpc),Range: 10.160.0.0/20,0.12% Allocation
VPC IP Address Utilization,Action Required,stark-nonprod,Unassigned IPs,Organization (Overall),Total Reserved: 13,Unassigned Count: 9 (69.23%)
,,,,,,
Check,Status,Project,Finding Type,Resource,Detail,Value
VPC IP Address Utilization,Action Required,stark-prod-2024,PSA Utilization,Network: stark-prod-vpc,PSA Range: 10.173.35.0/24,100.00% Allocation
VPC IP Address Utilization,Action Required,stark-prod-2024,PSA Utilization,Network: stark-prod-vpc,PSA Range: 192.168.196.0/24,100.00% Allocation
VPC IP Address Utilization,Action Required,stark-prod-2024,Unassigned IPs,Organization (Overall),Total Reserved: 9,Unassigned Count: 1 (11.11%)
VPC IP Address Utilization,Action Required,stark-prod-2024,Subnet Utilization,Subnet: default (Network: default),Range: 10.160.0.0/20,0.32% Allocation
VPC IP Address Utilization,Action Required,stark-prod-2024,Subnet Utilization,Subnet: default (Network: default),Range: 10.32.0.0/14,0.88% Allocation
VPC IP Address Utilization,Action Required,stark-prod-2024,Subnet Utilization,Subnet: default (Network: default),Range: 10.128.0.0/20,0.07% Allocation
VPC IP Address Utilization,Action Required,stark-prod-2024,Subnet Utilization,Subnet: mum-prod-subnet (Network: stark-prod-vpc),Range: 10.150.0.0/20,0.49% Allocation
VPC IP Address Utilization,Action Required,stark-prod-2024,Subnet Utilization,Subnet: mgmt-subnet (Network: stark-prod-vpc-mgmt),Range: 192.168.10.0/24,0.40% Allocation
,,,,,,
Check,Status,Project,Finding Type,Resource,Detail,Value
GKE Service Account,Action Required,stark-prod-2024,General Insight,Node pool uses the Compute Engine default service account. This may have more permissions than necessary.,(No structured data),See finding
,,,,,,
Check,Status,Status,,,,
Quota Utilization (>80%),Compliant,No quotas found over 80% utilization.,,,,
