Name,Type,Possible values *,Added on,Description,Recommended to set *,Recommended setting *,Notes *,Additional information *,ID,Internal notes *
Enable advanced service control for compliance workloads,Boolean,"
True, False
Manually updated: 2024-03-26",2024-03,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. When this boolean constraint is enforced, certain aspects of supportability will be impaired and provisioned resources will strictly follow advanced sovereignty requirements for Assured Workloads. This policy will apply to existing projects, but it will not affect resources that have already been provisioned; ie. modifications to the policy will only be reflected in resources created after the policy is modified.",,,,,spanner.assuredWorkloadsAdvancedServiceControls,
BigQuery,,,,,,,,,,
Disable BigQuery Omni for Cloud AWS,Boolean,"
True, False
Manually updated: 2024-03-26",2021-08,"This boolean constraint, when set to True, will disable users from using BigQuery Omni to process data on Amazon Web Services where this constraint is enforced.",Could have,,,,bigquery.disableBQOmniAWS,
Disable BigQuery Omni for Cloud Azure,Boolean,"
True, False
Manually updated: 2024-03-26",2021-08,"This boolean constraint, when set to True, will disable users from using BigQuery Omni to process data on Microsoft Azure where this constraint is enforced.",Could have,,,,bigquery.disableBQOmniAzure,
Cloud Build,,,,,,,,,,
Allowed Integrations (Cloud Build),List,,2021-06,"This list constraint defines the allowed Cloud Build integrations for performing Builds through receiving webhooks from services outside Google Cloud. When this constraint is enforced, only webhooks for services whose host matches one of the allowed values will be processed. By default, Cloud Build processes all webhooks for projects that have at least one LIVE trigger.",Should have,,"
In case of a leaked webhook URL, this policy limits the exposure only to the sources
you are using.
",,cloudbuild.allowedIntegrations,
Allowed Worker Pools (Cloud Build),List,,2020-05,"This list constraint defines the set of allowed Cloud Build Worker Pools for performing Builds using Cloud Build. When this constraint is enforced, builds will be required to build in a Worker Pool that matches one of the allowed values. By default, Cloud Build can use any Worker Pool. The allowed list of Worker Pools must be of the form: [under:organizations/ORGANIZATION\_ID , under:folders/FOLDER\_ID , under:projects/PROJECT\_ID , projects/PROJECT\_ID/locations/REGION/workerPools/WORKER\_POOL\_ID]. ",Could have,,,,cloudbuild.allowedWorkerPools,
Disable Create Default Service Account (Cloud Build),Boolean,"
True, False
Manually updated: 2024-03-26",2024-03,"This boolean constraint, when enforced, prevents the legacy Cloud Build service account from being created.",Should have,,,,cloudbuild.disableCreateDefaultServiceAccount,
Use default service account (Cloud Build),Boolean,"
True, False
Manually updated: 2024-04-24",2024-04,"This boolean constraint, when enforced, allows the legacy Cloud Build service account to be used by default.",Wont have,,,,cloudbuild.useBuildServiceAccount,
Use Compute Engine Service Account by Default (Cloud Build),Boolean,"
True, False
Manually updated: 2024-04-24",2024-04,"This boolean constraint, when enforced, allows the Compute Engine service account to be used by default.",Wont have,,,,cloudbuild.useComputeServiceAccount,
Cloud Console,,,,,,,,,,
Disable SSH-in-browser,Boolean,"
True, False
Manually updated: 2024-03-26",2022-03,"This boolean constraint disables the SSH-in-browser tool in the Cloud Console for VMs that use OS Login and App Engine flexible environment VMs. When enforced, the SSH-in-browser button is disabled. By default, using the SSH-in-browser tool is allowed.",Could have,"
This should probably be combined with disabling Cloud Shell in Workspace Admin.
","
Please note that this policy does not block SSH access, just the web-based UI.
",,compute.disableSshInBrowser,
Restrict resource query visibility,List,,2021-08,"This list constraint, when enforced on an organization resource, defines the set of Google Cloud resources that are returned in list and search methods for users in the domain of the organization where this constraint is enforced. This can be used to limit what resources are visible in various parts of the Cloud Console, such as the Resource Picker, Search, and Manage Resources page. Note that this Constraint is only ever evaluated at the Organization level. Values specified in allow/deny lists must be in the form: under:organizations/ORGANIZATION\_ID.",Could have,,,,resourcemanager.accessBoundaries,
Cloud Deploy,,,,,,,,,,
Disable Cloud Deploy service labels,Boolean,"
True, False
Manually updated: 2024-03-26",2021-11,"This boolean constraint, when enforced, prevents Cloud Deploy from adding Cloud Deploy identifier labels to deployed objects.By default, labels identifying Cloud Deploy resources are added to deployed objects during release creation.",Could have,,,,clouddeploy.disableServiceLabelGeneration,
Cloud KMS,,,,,,,,,,
Restrict which KMS CryptoKey types may be created.,List,,2021-09,"This list constraint defines the Cloud KMS key types which may be created under a given hierarchy node. When this constraint is enforced, only KMS key types specified within this org policy may be created within the associated hierarchy node. Configuring this org policy will also impact the protection level of import jobs and key versions. By default, all key types are allowed. Valid values are: SOFTWARE, HSM, EXTERNAL, EXTERNAL\_VPC. Deny policies are disallowed.",Could have,,"
If you have compliance requirements, this policy can help you enforce them.
",,cloudkms.allowedProtectionLevels,
Restrict which projects may supply KMS CryptoKeys for CMEK,List,,2020-01,"This list constraint defines which projects may be used to supply Customer-Managed Encryption Keys (CMEK) when creating resources. Setting this constraint to Allow (i.e. only allow CMEK keys from these projects) ensures that CMEK keys from other projects cannot be used to protect newly created resources. Values for this constraint must be specified in the form of under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, or projects/PROJECT\_ID. Supported services that enforce this constraint are: [aiplatform.googleapis.com, alloydb.googleapis.com, apigee.googleapis.com, artifactregistry.googleapis.com, bigquery.googleapis.com, bigquerydatatransfer.googleapis.com, bigtable.googleapis.com, cloudfunctions.googleapis.com, cloudtasks.googleapis.com, composer.googleapis.com, compute.googleapis.com, container.googleapis.com, dataflow.googleapis.com, dataform.googleapis.com, datafusion.googleapis.com, dataplex.googleapis.com, dataproc.googleapis.com, discoveryengine.googleapis.com, documentai.googleapis.com, eventarc.googleapis.com, file.googleapis.com, firestore.googleapis.com, gkebackup.googleapis.com, integrations.googleapis.com, logging.googleapis.com, looker.googleapis.com, notebooks.googleapis.com, pubsub.googleapis.com, redis.googleapis.com, run.googleapis.com, secretmanager.googleapis.com, securesourcemanager.googleapis.com, spanner.googleapis.com, speech.googleapis.com, sqladmin.googleapis.com, storage.googleapis.com, workstations.googleapis.com]. Enforcement of this constraint may grow over time to include additional services. Use caution when applying this constraint to projects, folders, or organizations where a mix of supported and unsupported services are used. Setting this constraint to Deny or Deny All is not permitted. Enforcement of this constraint is not retroactive. Existing CMEK Google Cloud resources with KMS CryptoKeys from disallowed projects must be reconfigured or recreated manually to ensure enforcement.",Should have,,,,gcp.restrictCmekCryptoKeyProjects,
Restrict which services may create resources without CMEK,List,,2020-01,"This list constraint defines which services require Customer-Managed Encryption Keys (CMEK). Setting this constraint to Deny (i.e. deny resource creation without CMEK) requires that, for the specified services, newly created resources must be protected by a CMEK key. Supported services that can be set in this constraint are: [aiplatform.googleapis.com, alloydb.googleapis.com, apigee.googleapis.com, artifactregistry.googleapis.com, bigquery.googleapis.com, bigquerydatatransfer.googleapis.com, bigtable.googleapis.com, cloudfunctions.googleapis.com, cloudtasks.googleapis.com, composer.googleapis.com, compute.googleapis.com, container.googleapis.com, dataflow.googleapis.com, dataform.googleapis.com, datafusion.googleapis.com, dataplex.googleapis.com, dataproc.googleapis.com, discoveryengine.googleapis.com, documentai.googleapis.com, eventarc.googleapis.com, file.googleapis.com, firestore.googleapis.com, gkebackup.googleapis.com, integrations.googleapis.com, logging.googleapis.com, looker.googleapis.com, notebooks.googleapis.com, pubsub.googleapis.com, redis.googleapis.com, run.googleapis.com, secretmanager.googleapis.com, securesourcemanager.googleapis.com, spanner.googleapis.com, speech.googleapis.com, sqladmin.googleapis.com, storage.googleapis.com, storagetransfer.googleapis.com, workstations.googleapis.com]. Setting this constraint to Deny All is not permitted. Setting this constraint to Allow is not permitted. Enforcement of this constraint is not retroactive. Existing non-CMEK Google Cloud resources must be reconfigured or recreated manually to ensure enforcement.",Could have,,,,gcp.restrictNonCmekServices,
Minimum destroy scheduled duration per key,List,,2023-11,"This list constraint defines the minimum destroy scheduled duration in days that the user can specify when creating a new key. No keys with destroy scheduled duration lower than this value may be created after the constraint is enforced. By default, the minimum destroy scheduled duration for all keys is 1 day, except in the case of import-only keys for which it is 0 days. Only one allowed value can be specified in the format in:1d, in:7d, in:15d, in:30d, in:60d, in:90d, or in:120d. For example, if constraints/cloudkms.minimumDestroyScheduledDuration is set to in:15d, then users can create keys with destroy scheduled duration set to any value higher than 15 days, such as 16 days or 31 days. However, users cannot create keys with destroy scheduled duration lower than 15 days, such as 14 days. For each resource in the hierarchy, the minimum destroy scheduled duration may inherit, replace, or be merged with the parent's policy. When the resource's policy is merged with the parent's policy, the effective value of minimum destroy scheduled duration at the resource is the lowest between that value specified at the resource's policy and the parent's effective minimum destroy scheduled duration. For example, if an organization has minimum destroy scheduled duration of 7 days and in a child project the policy is set to 'Merge with parent' with a value of in:15d, then the effective minimum destroy scheduled duration at the project is 7 days. ",Could have,,,,cloudkms.minimumDestroyScheduledDuration,
Restrict key destruction to disabled key versions,Boolean,"
True, False
Manually updated: 2024-03-26",2023-10,"This boolean constraint, when enforced, only allows the destruction of key versions that are in the disabled state. By default, key versions that are in the enabled state and key versions that are in the disabled state can be destroyed. When this constraint is enforced, it applies to both new and existing key versions.",Should have,,,,cloudkms.disableBeforeDestroy,
Compute Engine,,,,,,,,,,
Disable Guest Attributes of Compute Engine metadata,Boolean,"
True, False
Manually updated: 2024-03-26",2018-04,"This boolean constraint disables Compute Engine API access to the Guest Attributes of Compute Engine VMs belonging to the organization, project, or folder where this constraint is set to True. By default, the Compute Engine API can be used to access Compute Engine VM guest attributes.",Could have,"
Any process running in the virtual machine instance can write to the guest attributes values
including scripts and applications that don't have sudo or administrator level privileges. Enforcing
this at org level will prevent exposing sensitive data in guest attributes.
","
Please note that OS Configuration Management guest policy (legacy beta) requires that guest attributes access is enabled.
This policy can be enforced when OS policy (GA) is used. https://cloud.google.com/compute/docs/os-config-management/comparing_policy_options
",,compute.disableGuestAttributesAccess,
Disable VM nested virtualization,Boolean,"
True, False
Manually updated: 2024-03-26",2018-08,"This boolean constraint disables hardware-accelerated nested virtualization for all Compute Engine VMs belonging to the organization, project, or folder where this constraint is set to True. By default, hardware-accelerated nested virtualization is allowed for all Compute Engine VMs running on Intel Haswell or newer CPU platforms. ",Could have,"
Enforce to prevent users from setting up virtualized environments.
",,,compute.disableNestedVirtualization,
Disable VM serial port access,Boolean,"
True, False
Manually updated: 2024-03-26",2018-05,"This boolean constraint disables serial port access to Compute Engine VMs belonging to the organization, project, or folder where this constraint is set to True. By default, customers can enable serial port access for Compute Engine VMs on a per-VM or per-project basis using metadata attributes. Enforcing this constraint will disable serial port access for Compute Engine VMs, regardless of the metadata attributes.",Should have,"
Connectivity via interactive serial port is not commonly required. If you only need to view serial port output
without running any commands to the serial console, you may use Cloud Logging logs instead. You may enforce this
policy for production projects only. Exceptions can be allowed for a limited amount of time during debugging.
By default, users can enable access on a per-VM or per-project basis using metadata attributes.
",,"
https://cloud.google.com/compute/docs/instances/interacting-with-serial-console
",compute.disableSerialPortAccess,
Disable VM serial port logging to Stackdriver,Boolean,"
True, False
Manually updated: 2024-03-26",2018-05,"This boolean constraint disables serial port logging to Stackdriver from Compute Engine VMs belonging to the organization, project, or folder where this constraint is being enforced. By default, serial port logging for Compute Engine VMs is disabled, and can be selectively enabled on a per-VM or per-project basis using metadata attributes. When enforced, this constraint disables serial port logging for new Compute Engine VMs whenever a new VM is created, as well as preventing users from changing the metadata attribute of any VMs (old or new) to True. Disabling serial port logging can cause certain services that rely on it, such as Google Kubernetes Engine clusters, to not function correctly. Before you enforce this constraint, verify that the products in your project do not rely on serial port logging.",Should have,"
If you enable the compute.disableSerialPortAccess, you would probably want to keep the logs in Cloud Logging, thus
leave this enabled. By default, users can enable logging on a per-VM or per-project basis using metadata attributes.
",,,compute.disableSerialPortLogging,
Require OS Login,Boolean,"
True, False
Manually updated: 2024-03-26",2019-06,"This boolean constraint, when set to true, enables OS Login on all newly created Projects. All VM instances created in new projects will have OS Login enabled. On new and existing projects, this constraint prevents metadata updates that disable OS Login at the project or instance level. By default, the OS Login feature is disabled on Compute Engine projects.GKE instances in private clusters running node pool versions 1.20.5-gke.2000 and later support OS Login. GKE instances in public clusters do not currently support OS Login. If this constraint is applied to a Project running public clusters, GKE instances running in that Project may not function properly.",Could have,"
OS login allows an easier way to manage your SSH keys, to log user access and to provide resource level permissions.
Exceptions may be considered for non compatible VMs where you would need to use SCP or FTPs.
Enable it at organization level.

As a reminder Enabling OS Login on instances/projects disables metadata-based SSH key configurations
on those instances/projects.
","
OS Login on GKE is supported as of node pool version 1.20.5+.

The Windows GCE are not compatible but the connection to those won't break.

It is not retroactive, meaning that the meta-data enable-oslogin : TRUE won't be enforced on existing projects.
",,compute.requireOsLogin,"
Ariane for windows support here.
"
Shielded VMs,Boolean,"
True, False
Manually updated: 2024-03-26",2018-08,"This boolean constraint, when set to True, requires that all new Compute Engine VM instances use Shielded disk images with Secure Boot, vTPM, and Integrity Monitoring options enabled. Secure Boot can be disabled after creation, if desired. Existing running instances will continue to work as usual. By default, Shielded VM features do not need to be enabled in order to create Compute Engine VM instances. Shielded VM features add verifiable integrity and exfiltration resistance to your VMs.",Should have,"
Enforce at folder or project levels for workloads with user-managed VMs requiring high security.
","
This policy will also require shielded GKE nodes to be selected (Secure Boot is also required).

Affects other services that use Compute Engine instances, such as Dataflow, will need to support
and use shielded VMs.
",,compute.requireShieldedVm,
Restrict Non-Confidential Computing,List,,2020-07,"The deny list of this list constraint defines the set of services that require all new resources to be created with Confidential Computing enabled. By default, new resources are not required to use Confidential Computing. While this list constraint is enforced, Confidential Computing cannot be disabled throughout the lifecycle of the resource. Existing resources will continue to work as usual. The denied list of services must be identified as the string name of an API, and can only include explicitly denied values from the list below. Explicitly allowing APIs is not currently supported. Explicitly denying APIs not in this list will result in an error. List of supported APIs: [compute.googleapis.com, container.googleapis.com]",Could have,,,,compute.restrictNonConfidentialComputing,
Restrict Shared VPC Host Projects,List,"
List of Org/Folder/Project IDs
Manually updated: 2022-09-12",2018-10,"This list constraint defines the set of Shared VPC host projects that projects at or below this resource can attach to. By default, a project can attach to any host project in the same organization, thereby becoming a service project. Projects, folders, and organizations in allowed/denied lists affect all objects underneath them in the resource hierarchy, and must be specified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, or projects/PROJECT\_ID.",Should have,"
Enforce at org level and manage allowlist of approved Shared VPC host projects.

If you have a centralized approach where the Factory team manages all cloud resources and networking,
this policy is less relevant. The only Host Projects available will be the ones provisioned by the
central team and no permissions on creation of other networks will be given to BU teams.
",,,compute.restrictSharedVpcHostProjects,
Restrict Shared VPC Subnetworks,List,"
List of subnetworks
Manually updated: 2022-09-12",2018-10,"This list constraint defines the set of shared VPC subnetworks that eligible resources can use. This constraint does not apply to resources within the same project. By default, eligible resources can use any shared VPC subnetwork. The allowed/denied list of subnetworks must be specified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, or projects/PROJECT\_ID/regions/REGION/subnetworks/SUBNETWORK-NAME.",Should have,"
Enforce at org level and manage allowlist of approved Shared VPC subnets. Helps to prevent against
misconfiguration/over granting of access to subnets in a Shared VPC.

If you have a centralized approach where the central team manages all cloud resources and networking,
this policy is less relevant since the creation of service projects will be taken care by this central team.
",,,compute.restrictSharedVpcSubnetworks,
Restrict shared VPC project lien removal,Boolean,"
True, False
Manually updated: 2024-03-26",2017-03,"This boolean constraint restricts the set of users that can remove a Shared VPC host project lien without organization-level permission where this constraint is set to True. By default, any user with the permission to update liens can remove a Shared VPC host project lien. Enforcing this constraint requires that permission be granted at the organization level.",Should have,"
Enforce at the org level to protect against accidental deletion of Shared VPC host projects.

By default, any user with the permission to update liens can remove a Shared VPC project lien,
the permission is included in 2 roles Owner and Project Lien Modifier.
",,,compute.restrictXpnProjectLienRemoval,
Shared Reservations Owner Projects,List,,2020-12,"This list constraint defines the set of projects that are allowed to create and own shared reservations in the org. A shared reservation is similar to a local reservation, except that instead of being consumable by only owner projects, they can be consumed by other Compute Engine projects in the resource hierarchy. The list of projects allowed to access the shared reservation must be of the form: projects/PROJECT\_NUMBER or under:projects/PROJECT\_NUMBER.",Could have,,,,compute.sharedReservationsOwnerProjects,
"Compute Storage resource use restrictions (Compute Engine disks, images, and snapshots)",List,"
List of org/folder/projectIDs
Manually updated: 2022-09-12",2017-09,"This list constraint defines a set of projects that are allowed to use Compute Engine's storage resources. By default, anyone with appropriate Cloud IAM permissions can access Compute Engine resources. When using this constraint, users must have Cloud IAM permissions, and they must not be restricted by the constraint to access the resource. Projects, folders, and organizations specified in allowed or denied lists must be in the form: under:projects/PROJECT\_ID, under:folders/FOLDER\_ID, under:organizations/ORGANIZATION\_ID. ",Could have,"
This Org Policy works together with the &quot;Define trusted image projects&quot; org policy.

Enable this Org Policy at Org Level allowing only the use of the resources inside your organization.
",,"
https://cloud.google.com/compute/docs/images/managing-access-custom-images#restrict
",compute.storageResourceUseRestrictions,
Define trusted image projects,List,"
List of project IDs in this format projects/[PROJECT_ID]
Manually updated: 2022-09-12",2017-02,"This list constraint defines the set of projects that can be used for image storage and disk instantiation for Compute Engine. By default, instances can be created from images in any project that shares images publicly or explicitly with the user. The allowed/denied list of publisher projects must be strings in the form: projects/PROJECT\_ID. If this constraint is active, only images from trusted projects will be allowed as the source for boot disks for new instances.",Should have,"
This depends on your current organization - do you have a team and process to qualify the public images that can
be used by the BUs? You may want to enforce this for production projects but allow all dev projects to use
their own images.

Coupled with compute.storageResourceUseRestrictions policy, it allows also to control which projects/folders
can access the images in your trusted project. This Org policy replies to the question: &quot;What public or external
images my users are allowed to use?&quot;. The other Org Policy replies to the question: &quot;Who is allowed to use my trusted images?&quot;.
","
Does not prevent users from creating image resources in their local projects, or using custom images from their
local project - you should enforce IAM to control the rights to create the custom images.

This policy also prevents the use of Public images (if the public project for ex. project/centos-cloud for Centos
Images is not whitelisted). The list of projects for public images are listed here

The following non-exhaustive list of projects are automatically whitelisted:
  - gke-node-images
  - ubuntu-os-gke-cloud
  - cloud-dataproc
  - dataflow-service-producer-prod

A non-exhaustive list of additional managed services projects that can break and have to be added to the org policy:
  - gke-windows-node-images
  - cos-cloud
  - deeplearning-platform-release
  - serverless-vpc-access-images
","
https://cloud.google.com/compute/docs/images/restricting-image-access#trusted_images
",compute.trustedImageProjects,"
b/131163258#comment7
"
Restrict VM IP Forwarding,List,,2018-10,"This list constraint defines the set of VM instances that can enable IP forwarding. By default, any VM can enable IP forwarding in any virtual network. VM instances must be specified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, or projects/PROJECT\_ID/zones/ZONE/instances/INSTANCE-NAME. This constraint is not retroactive.",Should have,"
Disable at org level and manage by exception for valid use cases (eg. proxy/NAT appliances?)

If you have a central project factory team, the network will be created for the business units
and supposedly in Hub and Spoke model, so the VMs will be able to use only the networks assigned
to the shared VPC network. The risk of having a VM making a hop from an unauthorized to authorized
network is mitigated so there is no need to have this org policy.
","
This org policy does not work with GKE - the creation of nodes is blocked when the org policy is activated.
",,compute.vmCanIpForward,
Define allowed external IPs for VM instances,List,"
List of VM instances
Manually updated: 2022-09-12",2017-03,"This list constraint defines the set of Compute Engine VM instances that are allowed to use external IPv4 addresses. This constraint doesn't restrict the use of IPv6 addresses. By default, all VM instances are allowed to use external IPv4 and IPv6 addresses. The allowed/denied list of VM instances must be identified by the VM instance name, in the form: projects/PROJECT\_ID/zones/ZONE/instances/INSTANCE ",Must have,"
Enable at org level and manage by exception for valid use cases. This is one of constraints that is
commonly used and advised.
","
There are some limitations around App Engine Flex to be considered. Also Dataprep (uses Dataflow and
doesn't allow for configuring private IPs).

The policy can also be applied to GKE clusters to ensure there is no public IP on the nodes.
","
https://cloud.google.com/compute/docs/configure-ip-addresses#disableexternalip
",compute.vmExternalIpAccess,"
An other current limitation is: importing disk images fails if external IP addresses are not allowed.
And the workaround is not very user friendly. See: b/117669699
"
Disable Global Access to VM Serial Ports,Boolean,"
True, False
Manually updated: 2024-03-26",2022-12,"This boolean constraint disables global serial port access to Compute Engine VMs belonging to the organization, project, or folder where the constraint is enforced. By default, customers can enable serial port access for Compute Engine VMs on a per-VM or per-project basis using metadata attributes. Enforcing this constraint will disable global serial port access for Compute Engine VMs, regardless of the metadata attributes. Regional serial port access is not affected by this constraint. To disable all serial port access, use the compute.disableSerialPortAccess constraint instead.",Could have,,,,compute.disableGlobalSerialPortAccess,
Enforce FIPS-compliant machine types,Boolean,"
True, False
Manually updated: 2024-03-26",2022-12,"This boolean constraint when enforced, disables creation of VM instance types that do not comply with FIPS requirements.",Could have,,,,compute.disableNonFIPSMachineTypes,
Require SSL Policy,List,Manually updated: 2023-10-20,2024-02,"This list constraint defines the set of target SSL proxies and target HTTPS proxies that are allowed to use the default SSL policy. By default, all target SSL proxies and target HTTPS proxies are allowed to use the default SSL policy. When this constraint is enforced, new target SSL proxies and target HTTPS proxies will be required to specify an SSL policy. Enforcement of this constraint is not retroactive. Existing target proxies that use the default SSL policy are not affected. The allowed/denied list of target SSL proxies and target HTTPS proxies must be identified in the form:[under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, projects/PROJECT\_ID/global/targetHttpsProxies/TARGET\_PROXY\_NAME, projects/PROJECT\_ID/regions/REGION\_NAME/targetHttpsProxies/TARGET\_PROXY\_NAME, projects/PROJECT\_ID/global/targetSslProxies/TARGET\_PROXY\_NAME]. ",Should have,,,,compute.requireSslPolicy,
Restrict cross-project backend buckets and backend services,List,,2024-02,"This list constraint limits BackendBucket and BackendService resources that a urlMap resource can attach to. This constraint does not apply to BackendBuckets and BackendServices within the same project as the urlMap resource. By default, a urlMap resource in one project can reference compatible backendBuckets and BackendServices from other projects in the same organization as long as the user has compute.backendService.use, compute.regionBackendServices.use or compute.backendBuckets.use permission. We recommend not using this constraint with the compute.restrictSharedVpcBackendServices constraint to avoid conflicts. Projects, folders, and organization resources in allowed or denied lists affect all BackendBuckets and BackendServices underneath them in the resource hierarchy. Only projects, folders, and organization resources can be included in the allowed or denied list, and must be specified in the form: [under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, projects/PROJECT\_ID/regions/REGION/backendbuckets/BACKEND\_BUCKET\_NAME, projects/PROJECT\_ID/global/backendbuckets/BACKEND\_BUCKET\_NAME, projects/PROJECT\_ID/regions/REGION/backendservices/BACKEND\_SERVICE\_NAME, projects/PROJECT\_ID/global/backendservices/BACKEND\_SERVICE\_NAME",Could have,,,,compute.restrictCrossProjectServices,
Restrict allowed Private Service Connect Consumers,List,,2023-11,"This list constraint defines the organizations, folders, and projects that can connect to service attachments within a producer's organization or project. The allowed or denied lists must be identified in the following form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, or under:projects/PROJECT\_ID. By default, all connections are allowed.",Could have,,,,compute.restrictPrivateServiceConnectConsumer,
Restrict allowed Private Service Connect Producers,List,,2023-11,"This list constraint defines which service attachments Private Service Connect consumers can connect to. The constraint blocks the deployment of Private Service Connect endpoints or backends based on the organization, folder, or project resource of the service attachment that the endpoints or backends refer to. The allowed or denied lists must be identified in the following form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, or under:projects/PROJECT\_ID. By default, all connections are allowed.",Could have,,,,compute.restrictPrivateServiceConnectProducer,
Disable fail-open behavior for list methods that display quota information for a region,Boolean,"
True, False
Manually updated: 2024-05-11",2024-05,"This boolean constraint, when enforced, disables the fail-open behavior on server-side failures for regions.list, regions.get, and projects.get methods. That means that if the quota information is unavailable, these methods fail when the constraint is enforced. By default, these methods succeed on server-side failures and display a warning message when the quota information is unavailable.",Should have,,,,compute.requireBasicQuotaInResponse,
Require OS Config,Boolean,"
True, False
Manually updated: 2024-05-04",2024-05,"This boolean constraint, when enforced, enables VM Manager (OS Config) on all new projects. All VM instances created in new projects will have VM Manager enabled. On new and existing projects, this constraint prevents metadata updates that disable VM Manager at the project or instance level. By default, VM Manager is disabled on Compute Engine projects.",Should have,,,,compute.requireOsConfig,
DNS,,,,,,,,,,
